Code,Airport
LCD,Louis Trichardt Airport
LCE,Goloson International Airport
LCF,Las Vegas Airport
LCG,A Coru?ña Airport
LCH,Lake Charles Regional Airport
LCI,Laconia Municipal Airport
LCJ,??d§ W?adys?aw Reymont Airport
LCK,Rickenbacker International Airport
LCL,La Coloma Airport
LCM,La Cumbre Airport
LCN,Balcanoona Airport
LCO,Lague Airport
LCP,Loncopue Airport
LCQ,Lake City Gateway Airport
LCR,La Chorrera Airport
LCV,Lucca-Tassignano Airport
LCX,Longyan Guanzhishan Airport
LCY,London City Airport
LDA,Malda Airport
LDB,Governador Jos?? Richa Airport
LDC,Lindeman Island Airport
LDE,Tarbes-Lourdes-Pyr??n??es Airport
LDG,Leshukonskoye Airport
LDH,Lord Howe Island Airport
LDI,Lindi Airport
LDJ,Linden Airport
LDK,Lidk??ping-Hovby Airport
LDM,Mason County Airport
LDN,Lamidanda Airport
LDO,Ladouanie Airport
LDS,Lindu Airport
LDU,Lahad Datu Airport
LDV,Landivisiau Air Base
LDW,Lansdowne Airport
LDX,Saint-Laurent-du-Maroni Airport
LDY,City of Derry Airport
LDZ,Londolozi Airport
LEA,Learmonth Airport
LEB,Lebanon Municipal Airport
LEC,Coronel Hor?­cio de Mattos Airport
LED,Pulkovo Airport
LEE,Leesburg International Airport
LEF,Lebakeng Airport
LEH,Le Havre Octeville Airport
LEI,Almer??a International Airport
LEJ,Leipzig/Halle Airport
LEK,Tata Airport
LEL,Lake Evella Airport
LEM,Lemmon Municipal Airport
LEN,Leon Airport
LEO,Lekoni Airport
LEP,Leopoldina Airport
LEQ,Land's End Airport
LER,Leinster Airport
LES,Lesobeng Airport
LET,Alfredo V?­squez Cobo International Airport
LEU,Pirineus - la Seu d'Urgel Airport
LEV,Levuka Airfield
LEW,Auburn Lewiston Municipal Airport
LEX,Blue Grass Airport
LEY,Lelystad Airport
LEZ,La Esperanza Airport
LFB,Lumbo Airport
LFI,Langley Air Force Base
LFK,Angelina County Airport
LFM,Lamerd Airport
LFN,Triangle North Executive Airport
LFO,Kelafo East Airport
LFP,Lakefield Airport
LFQ,Linfen Qiaoli Airport
LFR,La Fria Airport
LFT,Lafayette Regional Airport
LFW,Lom??-Tokoin Airport
LGA,La Guardia Airport
LGB,Long Beach /Daugherty Field/ Airport
LGC,LaGrange Callaway Airport
LGD,La Grande/Union County Airport
LGE,Mulan Airport
LGF,Laguna Army Airfield
LGG,Li??ge Airport
LGH,Leigh Creek Airport
LGI,Deadman's Cay Airport
LGK,Langkawi International Airport
LGL,Long Lellang Airport
LGM,Laiagam Airport
LGN,Linga Linga Airport
LGO,Langeoog Airport
LGP,Legazpi City International Airport
LGQ,Nueva Loja Airport
LGR,Cochrane Airport
LGS,Comodoro D.R. Salom??n Airport
LGT,La Gaviota Airport
LGU,Logan-Cache Airport
LGW,London Gatwick Airport
LGX,Lugh Ganane Airport
LGY,Lagunillas Airport
LHA,Lahr Airport
LHC,Arlington Municipal Airport
LHE,Alama Iqbal International Airport
LHG,Lightning Ridge Airport
LHI,Lereh Airport
LHK,Guangzhou MR Air Base
LHP,Lehu Airport
LHR,London Heathrow Airport
LHS,Las Heras Airport
LHU,Lianshulu Airport
LHV,William T. Piper Memorial Airport
LHW,Lanzhou Zhongchuan Airport
LIA,Liangping Airport
LIB,Limbunya Airport
LIC,Limon Municipal Airport
LID,Valkenburg Naval Air Base
LIE,Libenge Airport
LIF,Lifou Airport
LIG,Limoges Airport
LIH,Lihue Airport
LII,Mulia Airport
LIK,Likiep Airport
LIL,Lille-Lesquin Airport
LIM,Jorge Ch?­vez International Airport
LIN,Milano Linate Airport
LIO,Limon International Airport
LIP,Lins Airport
LIQ,Lisala Airport
LIR,Daniel Oduber Quiros International Airport
LIS,Humberto Delgado Airport (Lisbon Portela Airport)
LIT,Bill & Hillary Clinton National Airport/Adams Field
LIV,Livengood Camp Airport
LIW,Loikaw Airport
LIX,Likoma Island Airport
LIY,Wright AAF (Fort Stewart)/Midcoast Regional Airport
LIZ,Loring International Airport
LJA,Lodja Airport
LJG,Lijiang Airport
LJN,Texas Gulf Coast Regional Airport
LJU,Ljubljana Jo?e PuŽnik Airport
LKA,Gewayentana Airport
LKB,Lakeba Island Airport
LKC,Lekana Airport
LKD,Lakeland Airport
LKE,Kenmore Air Harbor Seaplane Base
LKG,Lokichoggio Airport
LKH,Long Akah Airport
LKK,Kulik Lake Airport
LKL,Banak Airport
LKN,Leknes Airport
LKO,Chaudhary Charan Singh International Airport
LKP,Lake Placid Airport
LKU,Lake Rudolf Airport
LKV,Lake County Airport
LKW,Lekhwair Airport
LKY,Lake Manyara Airport
LKZ,RAF Lakenheath
LLA,Lule? Airport
LLB,Libo Airport
LLE,Riverside Airport
LLF,Lingling Airport
LLG,Chillagoe Airport
LLH,Reginaldo Hammer Airport
LLI,Lalibella Airport
LLJ,Lalmonirhat Airport
LLK,Lankaran International Airport
LLL,Lissadell Airport
LLM,Long Lama Airport
LLN,Kelila Airport
LLS,Alferez Armando Rodriguez Airport
LLU,Alluitsup Paa Heliport
LLV,L?¬liang Airport
LLW,Lilongwe International Airport
LLX,Caledonia County Airport
LLY,South Jersey Regional Airport
LMA,Minchumina Airport
LMB,Salima Airport
LMC,La Macarena Airport
LMC,El Refugio/La Macarena Airport
LMD,Los Menucos Airport
LME,Le Mans-Arnage Airport
LMI,Lumi Airport
LML,Lae Island Airport
LMM,Valle del Fuerte International Airport
LMN,Limbang Airport
LMO,RAF Lossiemouth
LMP,Lampedusa Airport
LMQ,Marsa Brega Airport
LMR,Lime Acres Finsch Mine Airport
LMS,Louisville Winston County Airport
LMT,Crater Lake-Klamath Regional Airport
LMY,Lake Murray Airport
LMZ,Palma Airport
LNA,Palm Beach County Park Airport
LNB,Lamen Bay Airport
LNC,Lengbati Airport
LND,Hunt Field
LNE,Lonorore Airport
LNF,Munbil Airport
LNG,Lese Airport
LNH,Lake Nash Airport
LNI,Lonely Air Station
LNJ,Lintsang Airfield
LNK,Lincoln Airport
LNL,Longnan Chengzhou Airport
LNM,Langimar Airport
LNN,Willoughby Lost Nation Municipal Airport
LNO,Leonora Airport
LNP,Lonesome Pine Airport
LNQ,Loani Airport
LNR,Tri-County Regional Airport
LNS,Lancaster Airport
LNV,Londolovit Airport
LNX,Smolensk North Airport
LNY,Lanai Airport
LNZ,Linz H??rsching Airport
LOA,Lorraine Airport
LOB,San Rafael Airport
LOC,Lock Airport
LOD,Longana Airport
LOE,Loei Airport
LOF,Loen Airport
LOH,Camilo Ponce Enriquez Airport
LOI,Helmuth Baungarten Airport
LOK,Lodwar Airport
LOL,Derby Field
LOM,Francisco Primo de Verdad y Ramos Airport
LOO,Laghouat Airport
LOP,Lombok International Airport
LOQ,Lobatse Airport
LOR,Lowe AHP (Fort Rucker) Heliport
LOS,Murtala Muhammed International Airport
LOT,Lewis University Airport
LOU,Bowman Field
LOV,Monclova International Airport
LOW,Louisa County Airport/Freeman Field
LOY,Loyengalani Airport
LOZ,London-Corbin Airport/Magee Field
LPA,Gran Canaria Airport
LPB,El Alto International Airport
LPC,Lompoc Airport
LPD,La Pedrera Airport
LPE,La Primavera Airport
LPE,La Primavera Airport
LPF,Liupanshui Yuezhao Airport
LPG,La Plata Airport
LPI,Link??ping City Airport
LPJ,Armando Schwarck Airport
LPK,Lipetsk Airport
LPL,Liverpool John Lennon Airport
LPM,Lamap Airport
LPN,Leron Plains Airport
LPO,La Porte Municipal Airport
LPP,Lappeenranta Airport
LPQ,Luang Phabang International Airport
LPS,Lopez Island Airport
LPT,Lampang Airport
LPU,Long Apung Airport
LPX,LiepŽja International Airport
LPY,Le Puy-Loudes Airport
LQK,Pickens County Airport
LQM,Caucaya Airport
LQN,Qala-I-Naw Airport
LRA,Larisa Airport
LRB,Leribe Airport
LRD,Laredo International Airport
LRE,Longreach Airport
LRF,Little Rock Air Force Base
LRG,Loralai Airport
LRH,La Rochelle-??le de R?? Airport
LRJ,Le Mars Municipal Airport
LRL,Niamtougou International Airport
LRM,Casa De Campo International Airport
LRO,Sharpe AAF
LRQ,Laurie River Airport
LRR,Lar Airport
LRS,Leros Airport
LRT,Lorient South Brittany (Bretagne Sud) Airport
LRU,Las Cruces International Airport
LRV,Los Roques Airport
LSA,Losuia Airport
LSB,Lordsburg Municipal Airport
LSC,La Florida Airport
LSE,La Crosse Municipal Airport
LSF,Lawson Army Air Field (Fort Benning)
LSH,Lashio Airport
LSI,Sumburgh Airport
LSJ,Long Island Airport
LSK,Lusk Municipal Airport
LSL,Los Chiles Airport
LSM,Long Semado Airport
LSN,Los Banos Municipal Airport
LSO,Les Sables-d'Olonne Talmont Airport
LSP,Josefa Camejo International Airport
LSQ,Mar??a Dolores Airport
LSS,Terre-de-Haut Airport
LST,Launceston Airport
LSU,Long Sukang Airport
LSV,Nellis Air Force Base
LSW,Malikus Saleh Airport
LSX,Lhok Sukon Airport
LSY,Lismore Airport
LSZ,Lo­inj Island Airport
LTA,Tzaneen Airport
LTB,Latrobe Airport
LTC,Lai Airport
LTD,Ghadames East Airport
LTF,Leitre Airport
LTG,Langtang Airport
LTH,Lathrop Wells Airport / Jackass Aeropark
LTI,Altai Airport
LTK,Bassel Al-Assad International Airport
LTL,Lastourville Airport
LTM,Lethem Airport
LTN,London Luton Airport
LTO,Loreto International Airport
LTP,Lyndhurst Airport
LTQ,Le Touquet-C??te d'Opale Airport
LTR,Letterkenny Airport
LTS,Altus Air Force Base
LTT,La M??le Airport
LTU,Murod Kond Airport
LTV,Lotus Vale Airport
LTW,St. Mary's County Regional Airport
LTX,Cotopaxi International Airport
LUA,Lukla Airport
LUB,Lumid Pau Airport
LUC,Laucala Island Airport
LUD,Luderitz Airport
LUE,LuŽenec Airport
LUF,Luke Air Force Base
LUG,Lugano Airport
LUH,Ludhiana Airport
LUI,Carta Airport
LUJ,Lusikisiki Airport
LUK,Cincinnati Municipal Airport Lunken Field
LUL,Hesler Noble Field
LUM,Mangshi Airport
LUN,Kenneth Kaunda International Airport Lusaka
LUO,Luena Airport
LUP,Kalaupapa Airport
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport
LUR,Cape Lisburne LRRS Airport
LUS,Lusanga Airport
LUT,New Laura Airport
LUU,Laura Airport
LUV,Dumatumbun Airport
LUW,Syukuran Aminuddin Amir Airport
LUX,Luxembourg-Findel International Airport
LUY,Lushoto Airport
LUZ,Lublin Airport
LVA,Laval-Entrammes Airport
LVB,Santana do Livramento Airport
LVD,Lime Village Airport
LVI,Livingstone Airport
LVK,Livermore Municipal Airport
LVL,Lawrenceville Brunswick Municipal Airport
LVM,Mission Field
LVO,Laverton Airport
LVP,Lavan Island Airport
LVR,Municipal Bom Futuro Airport
LVS,Las Vegas Municipal Airport
LWA,Lebak Rural Airport
LWB,Greenbrier Valley Airport
LWC,Lawrence Municipal Airport
LWE,Lewoleba Airport
LWH,Lawn Hill Airport
LWI,Lowai Airport
LWK,Lerwick / Tingwall Airport
LWL,Wells Municipal Airport/Harriet Field
LWM,Lawrence Municipal Airport
LWN,Gyumri Shirak Airport
LWO,Lviv International Airport
LWR,Leeuwarden Air Base
LWS,Lewiston Nez Perce County Airport
LWT,Lewistown Municipal Airport
LWV,Lawrenceville Vincennes International Airport
LWY,Lawas Airport
LXA,Lhasa Gonggar Airport
LXG,Luang Namtha Airport
LXN,Jim Kelly Field
LXR,Luxor International Airport
LXS,Limnos Airport
LXU,Lukulu Airport
LXV,Lake County Airport
LYA,Luoyang Airport
LYB,Edward Bodden Airfield
LYC,Lycksele Airport
LYE,RAF Lyneham
LYG,Lianyungang Airport
LYH,Lynchburg Regional Preston Glenn Field
LYI,Shubuling Airport
LYK,Lunyuk Airport
LYM,Lympne Airport
LYN,Lyon-Bron Airport
LYO,Lyons-Rice County Municipal Airport
LYP,Faisalabad International Airport
LYR,"Svalbard Airport, Longyear"
LYS,Lyon Saint-Exup??ry Airport
LYT,Lady Elliot Island Airstrip
LYU,Ely Municipal Airport
LYX,Lydd Airport
LZA,Luiza Airport
LZC,L?­zaro C?­rdenas Airport
LZH,Liuzhou Bailian Airport
LZI,Luozi Airport
LZM,Luzamba Airport
LZN,Matsu Nangan Airport
LZO,Luzhou Airport
LZR,Lizard Island Airport
LZU,Gwinnett County Briscoe Field
LZY,Nyingchi Airport
MAA,Chennai International Airport
MAB,Jo?œo Correa da Rocha Airport
MAC,Macon Downtown Airport
MAD,Adolfo Su?­rez Madridƒ??Barajas Airport
MAE,Madera Municipal Airport
MAF,Midland International Airport
MAG,Madang Airport
MAH,Menorca Airport
MAI,Mangochi Airport
MAJ,Marshall Islands International Airport
MAK,Malakal Airport
MAL,"Mangole Airport, Falabisahaya"
MAM,General Servando Canales International Airport
MAN,Manchester Airport
MAO,Eduardo Gomes International Airport
MAP,Mamai Airport
MAQ,Mae Sot Airport
MAR,La Chinita International Airport
MAS,Momote Airport
MAT,Tshimpi Airport
MAU,Maupiti Airport
MAV,Maloelap Island Airport
MAW,Malden Regional Airport
MAX,Ouro Sogui Airport
MAY,Clarence A. Bain Airport
MAZ,Eugenio Maria De Hostos Airport
MBA,Mombasa Moi International Airport
MBB,Marble Bar Airport
MBC,M'Bigou Airport
MBD,Mmabatho International Airport
MBE,Monbetsu Airport
MBG,Mobridge Municipal Airport
MBH,Maryborough Airport
MBI,Songwe Airport
MBJ,Sangster International Airport
MBK,Regional Orlando Villas Boas Airport
MBL,Manistee Co Blacker Airport
MBM,Mkambati Airport
MBO,Mamburao Airport
MBP,Moyobamba Airport
MBQ,Mbarara Airport
MBS,MBS International Airport
MBT,Moises R. Espinosa Airport
MBU,Babanakira Airport
MBV,Masa Airport
MBW,Melbourne Moorabbin Airport
MBX,Maribor Airport
MBY,Omar N Bradley Airport
MBZ,Mau??s Airport
MCA,Macenta Airport
MCB,Mc Comb/Pike County Airport/John E Lewis Field
MCC,Mc Clellan Airfield
MCD,Mackinac Island Airport
MCE,Merced Regional Macready Field
MCF,Mac Dill Air Force Base
MCG,McGrath Airport
MCH,General Manuel Serrano Airport
MCI,Kansas City International Airport
MCJ,Jorge Isaac Airport
MCK,Mc Cook Ben Nelson Regional Airport
MCL,McKinley National Park Airport
MCM,Monaco Heliport
MCN,Middle Georgia Regional Airport
MCO,Orlando International Airport
MCP,Alberto Alcolumbre Airport
MCQ,Miskolc Airport
MCR,Melchor de Mencos Airport
MCS,Monte Caseros Airport
MCT,Muscat International Airport
MCU,Montlu??on-Gu??ret Airport
MCV,McArthur River Mine Airport
MCW,Mason City Municipal Airport
MCX,Uytash Airport
MCY,Sunshine Coast Airport
MCZ,Zumbi dos Palmares Airport
MDA,Martindale Army Heliport
MDB,Melinda Airport
MDC,Sam Ratulangi Airport
MDD,Midland Airpark
MDE,Jose Maria C??rdova International Airport
MDF,Taylor County Airport
MDG,Mudanjiang Hailang International Airport
MDH,Southern Illinois Airport
MDI,Makurdi Airport
MDJ,Madras Municipal Airport
MDK,Mbandaka Airport
MDL,Mandalay International Airport
MDM,Munduku Airport
MDN,Madison Municipal Airport
MDO,Middleton Island Airport
MDP,Mindiptana Airport
MDQ,?stor Piazzola International Airport
MDR,Medfra Airport
MDS,Middle Caicos Airport
MDT,Harrisburg International Airport
MDU,Mendi Airport
MDV,M??douneu Airport
MDW,Chicago Midway International Airport
MDX,Mercedes Airport
MDY,Henderson Field
MDZ,El Plumerillo Airport
MEA,Maca?? Airport
MEB,Melbourne Essendon Airport
MEC,Eloy Alfaro International Airport
MED,Prince Mohammad Bin Abdulaziz Airport
MEE,Mar?? Airport
MEF,Melfi Airport
MEG,Malanje Airport
MEH,Mehamn Airport
MEI,Key Field
MEJ,Port Meadville Airport
MEK,Bassatine Airport
MEL,Melbourne International Airport
MEM,Memphis International Airport
MEN,Mende-Brenoux Airfield
MEO,Dare County Regional Airport
MEP,Mersing Airport
MEQ,Seunagan Airport
MER,Castle Airport
MES,Soewondo Air Force Base
MET,Moreton Airport
MEU,Monte Dourado Airport
MEV,Minden-Tahoe Airport
MEW,Mweka Airport
MEX,Licenciado Benito Juarez International Airport
MEY,Meghauli Airport
MEZ,Musina(Messina) Airport
MFA,Mafia Island Airport
MFB,Monfort Airport
MFC,Mafeteng Airport
MFD,Mansfield Lahm Regional Airport
MFE,Mc Allen Miller International Airport
MFF,Moanda Airport
MFG,Muzaffarabad Airport
MFH,Mesquite Airport
MFI,Marshfield Municipal Airport
MFJ,Moala Airport
MFK,Matsu Beigan Airport
MFL,Mount Full Stop Airport
MFM,Macau International Airport
MFN,Milford Sound Airport
MFO,Manguna Airport
MFP,Manners Creek Airport
MFQ,Maradi Airport
MFR,Rogue Valley International Medford Airport
MFS,Miraflores Airport
MFT,Machu Pichu Airport
MFU,Mfuwe Airport
MFV,Accomack County Airport
MFW,Magaruque Airport
MFX,M??ribel Altiport
MFZ,Meselia Airport
MGA,Augusto C. Sandino (Managua) International Airport
MGB,Mount Gambier Airport
MGC,Michigan City Municipal Airport
MGD,Magdalena Airport
MGE,Dobbins Air Reserve Base
MGF,Regional de Maring?­ - S??lvio Nane Junior Airport
MGG,Margarima Airport
MGH,Margate Airport
MGI,Matagorda Island Air Force Base
MGJ,Orange County Airport
MGK,Mong Tong Airport
MGL,M??nchengladbach Airport
MGM,Montgomery Regional (Dannelly Field) Airport
MGN,Baracoa Airport
MGP,Manga Airport
MGQ,Aden Adde International Airport
MGR,Moultrie Municipal Airport
MGS,Mangaia Island Airport
MGT,Milingimbi Airport
MGU,Manaung Airport
MGV,Margaret River (Station) Airport
MGW,Morgantown Municipal Walter L. Bill Hart Field
MGX,Moabi Airport
MGY,Dayton-Wright Brothers Airport
MGZ,Myeik Airport
MHA,Mahdia Airport
MHB,Mechanics Bay Heliport
MHC,Mocopulli Airport
MHD,Mashhad International Airport
MHE,Mitchell Municipal Airport
MHF,Morichal Airport
MHG,Mannheim-City Airport
MHH,Leonard M Thompson International Airport
MHI,Moucha Airport
MHK,Manhattan Regional Airport
MHL,Marshall Memorial Municipal Airport
MHN,Hooker County Airport
MHO,Mount House Airport
MHP,Minsk 1 Airport
MHQ,Mariehamn Airport
MHR,Sacramento Mather Airport
MHS,Dunsmuir Muni-Mott Airport
MHT,Manchester-Boston Regional Airport
MHU,Mount Hotham Airport
MHV,Mojave Airport
MHW,Monteagudo Airport
MHX,Manihiki Island Airport
MHY,Morehead Airport
MHZ,RAF Mildenhall
MIA,Miami International Airport
MIB,Minot Air Force Base
MID,Licenciado Manuel Crescencio Rejon Int Airport
MIE,Delaware County Johnson Field
MIF,Roy Hurd Memorial Airport
MIG,Mianyang Airport
MIH,Mitchell Plateau Airport
MII,Frank Miloye Milenkowichiƒ??Mar??lia State Airport
MIJ,Mili Island Airport
MIK,Mikkeli Airport
MIM,Merimbula Airport
MIN,Minnipa Airport
MIP,Ramon Air Base
MIR,Monastir Habib Bourguiba International Airport
MIS,Misima Island Airport
MIT,Shafter Airport - Minter Field
MIU,Maiduguri International Airport
MIV,Millville Municipal Airport
MIY,Mittebah Airport
MIZ,Mainoru Airstrip
MJA,Manja Airport
MJB,Mejit Atoll Airport
MJC,Man Airport
MJD,Moenjodaro Airport
MJE,Majkin Airport
MJF,Mosj??en Airport (Kj??rstad)
MJG,Mayajigua Airport
MJI,Mitiga Airport
MJJ,Moki Airport
MJK,Shark Bay Airport
MJL,Mouilla Ville Airport
MJM,Mbuji Mayi Airport
MJN,Amborovy Airport
MJO,Mount Etjo Airport
MJP,Manjimup Airport
MJR,Miramar Airport
MJS,Maganja da Costa Airport
MJT,Mytilene International Airport
MJU,Tampa Padang Airport
MJV,San Javier Airport
MJW,Mahenye Airport
MJX,Ocean County Airport
MJY,Mangunjaya Airport
MJZ,Mirny Airport
MKA,Mari?­nsk?? L?­znŽ? Airport
MKB,Mekambo Airport
MKC,Charles B. Wheeler Downtown Airport
MKE,General Mitchell International Airport
MKG,Muskegon County Airport
MKH,Mokhotlong Airport
MKI,M'Boki Airport
MKJ,Makoua Airport
MKK,Molokai Airport
MKL,McKellar-Sipes Regional Airport
MKM,Mukah Airport
MKN,Malekolon Airport
MKP,Makemo Airport
MKQ,Mopah Airport
MKR,Meekatharra Airport
MKS,Mekane Selam Airport
MKU,Makokou Airport
MKV,Mount Cavenagh Airport
MKW,Rendani Airport
MKY,Mackay Airport
MKZ,Malacca Airport
MLA,Malta International Airport
MLB,Melbourne International Airport
MLC,Mc Alester Regional Airport
MLE,Mal?? International Airport
MLG,Abdul Rachman Saleh Airport
MLI,Quad City International Airport
MLK,Malta Airport
MLL,Marshall Don Hunter Sr Airport
MLM,General Francisco J. Mujica International Airport
MLN,Melilla Airport
MLO,Milos Airport
MLP,Malabang Airport
MLQ,Malalaua Airport
MLR,Millicent Airport
MLS,Frank Wiley Field
MLU,Monroe Regional Airport
MLV,Merluna Airport
MLW,Spriggs Payne Airport
MLX,Malatya Erha?? Airport
MLY,Manley Hot Springs Airport
MLZ,Cerro Largo International Airport
MMB,Memanbetsu Airport
MMC,Ciudad Mante National Airport
MMD,Minami-Daito Airport
MME,Durham Tees Valley Airport
MMF,Mamfe Airport
MMG,Mount Magnet Airport
MMH,Mammoth Yosemite Airport
MMI,McMinn County Airport
MMJ,Matsumoto Airport
MMK,Murmansk Airport
MML,Southwest Minnesota Regional Airport - Marshall/Ryan Field
MMM,Middlemount Airport
MMO,Maio Airport
MMQ,Mbala Airport
MMS,Selfs Airport
MMT,Mc Entire Joint National Guard Base
MMU,Morristown Municipal Airport
MMV,Mal Airport
MMX,Malm?? Sturup Airport
MMY,Miyako Airport
MMZ,Maimana Airport
MNA,Melangguane Airport
MNB,Muanda Airport
MNC,Nacala Airport
MND,Medina Airport
MNE,Mungeranie Airport
MNF,Mana Island Airport
MNG,Maningrida Airport
MNH,Rustaq Airport
MNI,John A. Osborne Airport
MNI,W. H. Bramble Airport
MNJ,Mananjary Airport
MNK,Maiana Airport
MNL,Ninoy Aquino International Airport
MNM,Menominee Regional Airport
MNN,Marion Municipal Airport
MNO,Manono Airport
MNP,Maron Island Airport
MNQ,Monto Airport
MNR,Mongu Airport
MNS,Mansa Airport
MNU,Mawlamyine Airport
MNW,Macdonald Downs Airport
MNX,Manicor?? Airport
MNY,Mono Airport
MNZ,Manassas Regional Airport/Harry P. Davis Field
MOA,Orestes Acosta Airport
MOB,Mobile Regional Airport
MOC,M?­rio Ribeiro Airport
MOD,Modesto City Co-Harry Sham Field
MOE,Momeik Airport
MOF,Maumere(Wai Oti) Airport
MOG,Mong Hsat Airport
MOH,Maleo Airport
MOI,Mitiaro Island Airport
MOJ,Moengo Airstrip
MOL,Molde Airport
MOM,Letfotar Airport
MON,Mount Cook Airport
MOO,Moomba Airport
MOQ,Morondava Airport
MOT,Minot International Airport
MOU,Mountain Village Airport
MOV,Moranbah Airport
MOY,Monterrey Airport
MOZ,Moorea Airport
MPA,Katima Mulilo Airport
MPB,Miami Seaplane Base
MPC,Muko Muko Airport
MPD,Sindhri Tharparkar Airport
MPE,Griswold Airport
MPF,Mapoda Airport
MPG,Makini Airport
MPH,Godofredo P. Ramos Airport
MPI,Mamitupo Airport
MPJ,Petit Jean Park Airport
MPK,Mokpo Airport
MPL,Montpellier-M??diterran??e Airport
MPM,Maputo Airport
MPN,Mount Pleasant Airport
MPO,Pocono Mountains Municipal Airport
MPP,Mulatupo Airport
MPT,Maliana airport
MPT,Maliana Airport
MPU,Mapua(Mabua) Airport
MPV,Edward F Knapp State Airport
MPW,Mariupol International Airport
MPX,Miyanmin Airport
MPY,Maripasoula Airport
MPZ,Mount Pleasant Municipal Airport
MQA,Mandora Airport
MQB,Macomb Municipal Airport
MQC,Miquelon Airport
MQD,Maquinchao Airport
MQE,Marqua Airport
MQF,Magnitogorsk International Airport
MQG,Midgard Airport
MQH,Mina??u Airport
MQJ,Moma Airport
MQK,San Mat??as Airport
MQL,Mildura Airport
MQM,Mardin Airport
MQN,"Mo i Rana Airport, R??ssvoll"
MQO,Malam Airport
MQP,Kruger Mpumalanga International Airport
MQQ,Moundou Airport
MQR,Mosquera Airport
MQS,Mustique Airport
MQT,Sawyer International Airport
MQU,Mariquita Airport
MQV,Mostaganem Airport
MQX,Mekele Airport
MQY,Smyrna Airport
MQZ,Margaret River Airport
MRA,Misratah Airport
MRB,Eastern WV Regional Airport/Shepherd Field
MRC,Maury County Airport
MRD,Alberto Carnevalli Airport
MRE,Mara Serena Lodge Airstrip
MRE,Mara Lodges Airport
MRF,Marfa Municipal Airport
MRG,Mareeba Airport
MRH,May River Airstrip
MRI,Merrill Field
MRJ,Colon Airport
MRK,Marco Island Executive Airport
MRM,Manari Airport
MRN,Foothills Regional Airport
MRO,Hood Airport
MRP,Marla Airport
MRQ,Marinduque Airport
MRR,Jose Maria Velasco Ibarra Airport
MRS,Marseille Provence Airport
MRT,Moroak Airport
MRU,Sir Seewoosagur Ramgoolam International Airport
MRV,Mineralnyye Vody Airport
MRW,Lolland Falster Maribo Airport
MRX,Mahshahr Airport
MRY,Monterey Peninsula Airport
MRZ,Moree Airport
MSA,Muskrat Dam Airport
MSB,Marigot Seaplane Base
MSC,Falcon Field
MSD,Mount Pleasant Airport
MSE,Kent International Airport
MSF,Mount Swan Airport
MSH,Masirah Air Base
MSI,Masalembo Airport
MSJ,Misawa Air Base
MSL,Northwest Alabama Regional Airport
MSM,Masi Manimba Airport
MSN,Dane County Regional Truax Field
MSO,Missoula International Airport
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport
MSQ,Minsk National Airport
MSR,Mu? Airport
MSS,Massena International Richards Field
MST,Maastricht Aachen Airport
MSU,Moshoeshoe I International Airport
MSV,Sullivan County International Airport
MSW,Massawa International Airport
MSX,Mossendjo Airport
MSY,Louis Armstrong New Orleans International Airport
MSZ,Namibe Airport
MTA,Matamata Glider Airport
MTB,Montelibano Airport
MTC,Selfridge Air National Guard Base Airport
MTD,Mount Sanford Station Airport
MTE,Monte Alegre Airport
MTF,Mizan Teferi Airport
MTG,Vila Bela da Sant??ssima Trindade Airport
MTH,The Florida Keys Marathon Airport
MTI,Mosteiros Airport
MTJ,Montrose Regional Airport
MTK,Makin Island Airport
MTL,Maitland Airport
MTM,Metlakatla Seaplane Base
MTN,Martin State Airport
MTO,Coles County Memorial Airport
MTP,Montauk Airport
MTQ,Mitchell Airport
MTR,Los Garzones Airport
MTS,Matsapha Airport
MTT,Minatitl?­n/Coatzacoalcos National Airport
MTU,Montepuez Airport
MTV,Mota Lava Airport
MTW,Manitowoc County Airport
MTX,Metro Field
MTY,General Mariano Escobedo International Airport
MTZ,Bar Yehuda Airfield
MUA,Munda Airport
MUB,Maun Airport
MUC,Munich Airport
MUC,Flughafen M?¬nchen-Riem
MUD,Mueda Airport
MUE,Waimea Kohala Airport
MUF,Muting Airport
MUG,Mulege Airport
MUH,Mersa Matruh Airport
MUI,Muir Army Air Field (Fort Indiantown Gap) Airport
MUJ,Mui River Airport
MUK,Mauke Airport
MUM,Mumias Airport
MUN,Matur??n Airport
MUO,Mountain Home Air Force Base
MUP,Mulga Park Airport
MUQ,Muccan Station Airport
MUR,Marudi Airport
MUS,Minami Torishima Airport
MUT,Muscatine Municipal Airport
MUW,Ghriss Airport
MUX,Multan International Airport
MUY,Mouyondzi Airport
MUZ,Musoma Airport
MVA,Reykjahl???ø Airport
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport
MVC,Monroe County Aeroplex Airport
MVD,Carrasco International /General C L Berisso Airport
MVE,Montevideo Chippewa County Airport
MVF,Dix-Sept Rosado Airport
MVI,Manetai Airport
MVK,Mulka Airport
MVL,Morrisville Stowe State Airport
MVM,Kayenta Airport
MVO,Mongo Airport
MVP,Fabio Alberto Leon Bentley Airport
MVQ,Mogilev Airport
MVR,Salak Airport
MVS,Mucuri Airport
MVT,Mataiva Airport
MVU,Musgrave Airport
